rank count word class
2229 3957 comfortable adjective
4289 1495 coming adjective
2209 4004 command noun
3571 1932 command verb
3508 1977 commander noun
4362 1462 commence verb
1353 7172 comment noun
1837 5065 comment verb
4714 1290 commentator noun
4066 1615 commerce noun
1269 7749 commercial adjective
943 10712 commission noun
3426 2053 commission verb
4746 1281 commissioner noun
1426 6783 commit verb
1386 6970 commitment noun
479 21575 committee noun
4325 1475 commodity noun
527 19565 common adjective
2973 2554 commonly adverb
3805 1776 commons noun
4103 1591 commonwealth noun
2933 2634 communicate verb
1053 9590 communication noun
4098 1594 communist adjective
2268 3852 communist noun
380 26289 community noun
3017 2494 companion noun
165 57754 company noun
3661 1872 comparable adjective
4481 1404 comparative adjective
4989 1192 comparatively adverb
811 12591 compare verb
1973 4600 comparison noun
4811 1255 compel verb
4603 1347 compensate verb
2579 3191 compensation noun
2449 3461 compete verb
4099 1593 competence noun
4880 1231 competent adjective
994 10119 competition noun
2349 3651 competitive adjective
3255 2234 competitor noun
4674 1308 compile verb
2150 4135 complain verb
2104 4252 complaint noun
1042 9660 complete adjective
1036 9711 complete verb
1177 8605 completely adverb
2993 2532 completion noun
1229 8124 complex adjective
3598 1914 complex noun
3263 2225 complexity noun
4824 1248 compliance noun
4100 1592 complicate verb
3886 1728 complicated adjective
4954 1207 complication noun
3417 2066 comply verb
1790 5263 component noun
3548 1945 compose verb
4344 1470 composer noun
2882 2720 composition noun
3708 1841 compound noun
2470 3415 comprehensive adjective
2544 3247 comprise verb
3735 1817 compromise noun
3959 1674 compulsory adjective
602 16976 computer noun
3920 1705 conceal verb
3829 1765 concede verb
3931 1696 conceive verb
1355 7157 concentrate verb
1591 5987 concentration noun
1108 9093 concept noun
3156 2337 conception noun
892 11368 concern noun
1495 6426 concern verb
794 12852 concerned adjective
2618 3124 concerning preposition
2925 2648 concert noun
3782 1788 concession noun
1764 5363 conclude verb
1303 7498 conclusion noun
3885 1728 concrete adjective
3201 2297 condemn verb
421 23742 condition noun
2770 2881 conduct noun
1835 5068 conduct verb
903 11243 conference noun
4141 1565 confess verb
1361 7101 confidence noun
2548 3242 confident adjective
4634 1331 configuration noun
2892 2704 confine verb
1193 8489 confirm verb
1388 6956 conflict noun
3166 2325 confront verb
4899 1225 confrontation noun
2801 2830 confuse verb
2733 2955 confusion noun
4906 1223 congregation noun
1708 5544 congress noun
4791 1263 conjunction noun
2000 4510 connect verb
1352 7172 connection noun
4361 1462 conscience noun
2671 3052 conscious adjective
2967 2563 consciousness noun
3763 1798 consensus noun
2482 3394 consent noun
1257 7844 consequence noun
3024 2481 consequently adverb
2377 3603 conservation noun
1793 5245 conservative adjective
2151 4134 conservative noun
349 28271 consider verb
1050 9614 considerable adjective
2754 2914 considerably adverb
1262 7808 consideration noun
1655 5751 consist verb
2634 3104 consistent adjective
4011 1644 consistently adverb
3734 1817 constable noun
1933 4753 constant adjective
2664 3061 constantly adverb
2923 2653 constituency noun
4251 1512 constituent noun
2253 3913 constitute verb
2267 3854 constitution noun
2747 2926 constitutional adjective
2990 2535 constraint noun
2225 3967 construct verb
1508 6366 construction noun
2796 2840 consult verb
2581 3184 consultant noun
2767 2884 consultation noun
4841 1244 consume verb
1448 6663 consumer noun
2554 3228 consumption noun
1238 8034 contact noun
1636 5833 contact verb
585 17732 contain verb
4210 1536 container noun
4127 1574 contemplate verb
2046 4396 contemporary adjective
3696 1849 content adjective
1360 7116 content noun
3904 1716 contest noun
1039 9687 context noun
3555 1940 continent noun
3995 1654 continental adjective
4639 1329 continually adverb
320 30466 continue verb
3842 1756 continued adjective
4609 1344 continuity noun
2924 2649 continuous adjective
648 15672 contract noun
3800 1780 contract verb
4195 1542 contractor noun
4317 1482 contradiction noun
3346 2135 contrary adjective
1422 6816 contrast noun
4589 1356 contrast verb
1553 6186 contribute verb
1228 8130 contribution noun
402 25041 control noun
766 13240 control verb
3371 2110 controversial adjective
3357 2126 controversy noun
3460 2027 convenient adjective
1952 4673 convention noun
2251 3916 conventional adjective
1474 6515 conversation noun
3086 2404 conversion noun
2337 3696 convert verb
3141 2351 convey verb
4785 1266 convict verb
2821 2801 conviction noun
2174 4083 convince verb
4897 1226 convincing adjective
4199 1541 cook noun
2353 3642 cook verb
4137 1567 cooking noun
2790 2852 cool adjective
4682 1305 cool verb
4918 1221 cooperation noun
3703 1845 coordinate verb
4975 1197 cop verb
2252 3913 cope verb
3991 1656 copper noun
1178 8602 copy noun
3533 1960 copy verb
2503 3346 core noun
4939 1212 corn noun
1157 8729 corner noun
1983 4579 corporate adjective
1687 5641 correct adjective
3414 2070 correct verb
3597 1914 correctly adverb
3875 1738 correlation noun
3223 2277 correspond verb
4241 1517 correspondence noun
3366 2118 correspondent noun
4476 1406 corresponding adjective
2822 2798 corridor noun
4435 1423 corruption noun
625 16247 cos conjunction
377 26556 cost noun
987 10167 cost verb
2465 3422 cottage noun
3308 2172 cotton noun
57 168387 could modal
274 34496 council noun
2207 4011 councillor noun
4487 1403 counselling noun
2762 2895 count noun
1923 4798 count verb
3626 1893 counter noun
4117 1581 counterpart noun
193 48177 country noun
2239 3933 countryside noun
1029 9745 county noun
3935 1690 coup noun
749 13668 couple noun
3980 1662 couple verb
3906 1715 courage noun
164 57776 course noun
328 29976 court noun
3048 2459 cousin noun
4547 1372 covenant noun
1674 5683 cover noun
546 19015 cover verb
3537 1957 coverage noun
3222 2278 cow noun
3891 1727 crack noun
3911 1712 crack verb
3380 2104 craft noun
3355 2127 crash noun
3162 2329 crash verb
3826 1766 crazy adjective
2930 2638 cream noun
482 21470 create verb
1870 4957 creation noun
3061 2444 creative adjective
2321 3738 creature noun
1283 7634 credit noun
3545 1946 creditor noun
4046 1624 creep verb
2171 4103 crew noun
2612 3132 cricket noun
1169 8637 crime noun
1970 4602 criminal adjective
1514 6352 crisis noun
1808 5177 criterion noun
2264 3859 critic noun
1652 5763 critical adjective
3485 2000 criticise verb
1606 5932 criticism noun
3967 1670 criticize verb
2914 2667 crop noun
2644 3090 cross noun
1343 7210 cross verb
1690 5633 crowd noun
2090 4290 crown noun
2020 4465 crucial adjective
4496 1397 crude adjective
4519 1388 cruel adjective
4717 1289 crush verb
3244 2244 cry noun
1486 6460 cry verb
3667 1868 crystal noun
1470 6543 cultural adjective
985 10196 culture noun
831 12294 cup noun
3566 1933 cupboard noun
4176 1551 cure noun
3302 2180 curious adjective
4969 1199 curl verb
2192 4041 currency noun
775 13105 current adjective
3650 1878 current noun
1374 7050 currently adverb
1736 5457 curriculum noun
2621 3119 curtain noun
2740 2939 curve noun
4343 1470 custody noun
2536 3276 custom noun
899 11292 customer noun
1696 5596 cut noun
563 18511 cut verb
2385 3592 cycle noun
2235 3947 daily adjective
3798 1781 daily adverb
1185 8552 damage noun
1953 4672 damage verb
3816 1771 damp adjective
2428 3503 dance noun
2394 3579 dance verb
4620 1336 dancer noun
1282 7637 danger noun
1661 5730 dangerous adjective
2802 2825 dare verb
982 10264 dark adjective
2332 3706 dark noun
2520 3317 darkness noun
3698 1848 darling noun
572 18188 data noun
2032 4432 database noun
679 15044 date noun
1506 6371 date verb
879 11522 daughter noun
4093 1600 dawn noun
104 92699 day noun
896 11341 dead adjective
2922 2653 deaf adjective
848 12067 deal noun
619 16402 deal verb
2453 3457 dealer noun
4265 1504 dealing noun
2165 4106 dear adjective
2766 2884 dear interjection
3140 2351 dear noun
453 22712 death noun
1299 7520 debate noun
3585 1923 debate verb
1417 6835 debt noun
4927 1218 debtor noun
3841 1756 debut noun
1549 6197 decade noun
3699 1847 decent adjective
406 24380 decide verb
410 24233 decision noun
4890 1228 decisive adjective
3970 1667 deck noun
3195 2302 declaration noun
1583 6043 declare verb
2147 4139 decline noun
2451 3459 decline verb
3994 1654 decorate verb
4596 1354 decoration noun
4250 1512 decrease verb
4474 1407 dedicate verb
4743 1282 deed noun
4656 1316 deem verb
1197 8444 deep adjective
1987 4556 deep adverb
2318 3741 deeply adverb
2606 3145 defeat noun
2909 2680 defeat verb
4304 1488 defect noun
799 12760 defence noun
2182 4065 defend verb
1888 4903 defendant noun
3690 1852 defender noun
4722 1288 defensive adjective
3139 2353 deficit noun
1097 9178 define verb
4090 1602 definite adjective
2596 3159 definitely adverb
1557 6153 definition noun
779 12996 degree noun
2586 3174 delay noun
2880 2721 delay verb
3719 1830 delegate noun
3772 1794 delegation noun
4577 1359 deliberate adjective
2831 2789 deliberately adverb
3849 1754 delicate adjective
3315 2161 delight noun
4429 1425 delight verb
3908 1714 delighted adjective
1539 6230 deliver verb
